Flight No.,Version Booster,Launch site,Payload,Orbit,Customer,Launch outcome,Payload mass,Booster landing,Date,Time
1,F9 v1.0B0003.1,CCAFS,Dragon Spacecraft Qualification Unit,LEO,SpaceX,"Success
",0,Failure,4 June 2010,18:45
2,F9 v1.0B0004.1,CCAFS,Dragon,LEO,"NASA (COTS)
NRO",Success,0,Failure,8 December 2010,15:43
3,F9 v1.0B0005.1,CCAFS,Dragon,LEO,NASA (COTS),Success,525 kg,"No attempt
",22 May 2012,07:44
4,F9 v1.0B0006.1,CCAFS,SpaceX CRS-1,LEO,NASA (CRS),"Success
","4,700 kg",No attempt,8 October 2012,00:35
5,F9 v1.0B0007.1,CCAFS,SpaceX CRS-2,LEO,NASA (CRS),"Success
","4,877 kg","No attempt
",1 March 2013,15:10
6,F9 v1.1B1003,VAFB,CASSIOPE,Polar orbit,MDA,Success,500 kg,Uncontrolled,29 September 2013,16:00
7,F9 v1.1,CCAFS,SES-8,GTO,SES,Success,"3,170 kg",No attempt,3 December 2013,22:41
8,F9 v1.1,CCAFS,Thaicom 6,GTO,Thaicom,Success,"3,325 kg",No attempt,6 January 2014,22:06
9,F9 v1.1,Cape Canaveral,SpaceX CRS-3,LEO,NASA (CRS),"Success
","2,296 kg",Controlled,18 April 2014,19:25
10,F9 v1.1,Cape Canaveral,Orbcomm-OG2,LEO,Orbcomm,Success,"1,316 kg",Controlled,14 July 2014,15:15
11,F9 v1.1,Cape Canaveral,AsiaSat 8,GTO,AsiaSat,Success,"4,535 kg",No attempt,5 August 2014,08:00
12,F9 v1.1,Cape Canaveral,AsiaSat 6,GTO,AsiaSat,Success,"4,428 kg","No attempt
",7 September 2014,05:00
13,F9 v1.1,Cape Canaveral,SpaceX CRS-4,LEO,NASA (CRS),Success,"2,216 kg",Uncontrolled,21 September 2014,05:52
14,F9 v1.1,Cape Canaveral,SpaceX CRS-5,LEO,NASA (CRS),Success,"2,395 kg",Failure ,10 January 2015,09:47
15,F9 v1.1,Cape Canaveral,DSCOVR,HEO,"USAF
NASA
NOAA","Success
",570 kg,Controlled,11 February 2015,23:03
16,F9 v1.1,Cape Canaveral,ABS-3A,GTO,"ABS
Eutelsat","Success
","4,159 kg",No attempt,2 March 2015,03:50
17,F9 v1.1,Cape Canaveral,SpaceX CRS-6,LEO,NASA (CRS),"Success
","1,898 kg",Failure,14 April 2015,20:10
18,F9 v1.1,Cape Canaveral,TürkmenÄlem 52°E / MonacoSAT,GTO,Turkmenistan NationalSpace Agency[88],"Success
","4,707 kg",No attempt,27 April 2015,23:03
19,F9 v1.1,Cape Canaveral,SpaceX CRS-7,LEO,NASA (CRS),Failure,"1,952 kg",Precluded,28 June 2015,14:21
20,F9 FT,Cape Canaveral,Orbcomm-OG2,LEO,Orbcomm,"Success
","2,034 kg",Success,22 December 2015,01:29
21,F9 v1.1,VAFB,Jason-3,LEO,"NASA (LSP)
NOAA
CNES","Success
",553 kg,Failure,17 January 2016,18:42
22,F9 FT,Cape Canaveral,SES-9,GTO,SES,"Success
","5,271 kg",Failure,4 March 2016,23:35
23,F9 FT,Cape Canaveral,SpaceX CRS-8,LEO,NASA (CRS),Success,"3,136 kg",Success,8 April 2016,20:43
24,F9 FT,Cape Canaveral,JCSAT-14,GTO,SKY Perfect JSAT Group,"Success
","4,696 kg",Success,6 May 2016,05:21
25,F9 FT,Cape Canaveral,Thaicom 8,GTO,Thaicom,"Success
","3,100 kg",Success,27 May 2016,21:39
26,F9 FT,Cape Canaveral,ABS-2A,GTO,"ABS
Eutelsat","Success
","3,600 kg",Failure,15 June 2016,14:29
27,F9 FT,Cape Canaveral,SpaceX CRS-9,LEO,NASA (CRS),"Success
","2,257 kg",Success,18 July 2016,04:45
28,F9 FT,Cape Canaveral,JCSAT-16,GTO,SKY Perfect JSAT Group,"Success
","4,600 kg",Success,14 August 2016,05:26
29,F9 FT,VAFB,Iridium NEXT,Polar,Iridium Communications,"Success
","9,600 kg",Success,14 January 2017,17:54
30,F9 FT,KSC,SpaceX CRS-10,LEO,NASA (CRS),"Success
","2,490 kg",Success,19 February 2017,14:39
31,F9 FT,KSC,EchoStar 23,GTO,EchoStar,"Success
","5,600 kg",No attempt,16 March 2017,06:00
32,F9 FT♺,KSC,SES-10,GTO,SES,Success,"5,300 kg",Success,30 March 2017,22:27
33,F9 FT,KSC,NROL-76,LEO,NRO,"Success
",C,Success,1 May 2017,11:15
34,F9 FT,KSC,Inmarsat-5 F4,GTO,Inmarsat,"Success
","6,070 kg",No attempt,15 May 2017,23:21
35,F9 FT,KSC,SpaceX CRS-11,LEO,NASA (CRS),"Success
","2,708 kg",Success,3 June 2017,21:07
36,F9 FTB1029.2,KSC,BulgariaSat-1,GTO,Bulsatcom,"Success
","3,669 kg",Success,23 June 2017,19:10
37,F9 FT,VAFB,Iridium NEXT,LEO,Iridium Communications,"Success
","9,600 kg",Success,25 June 2017,20:25
38,F9 FT,KSC,Intelsat 35e,GTO,Intelsat,"Success
","6,761 kg",No attempt,5 July 2017,23:38
39,F9 B4,KSC,SpaceX CRS-12,LEO,NASA (CRS),"Success
","3,310 kg",Success,14 August 2017,16:31
40,F9 FT,VAFB,Formosat-5,SSO,NSPO,"Success
",475 kg,Success,24 August 2017,18:51
41,F9 B4,KSC,Boeing X-37B,LEO,USAF,"Success
","4,990 kg",Success,7 September 2017,14:00
42,F9 B4,VAFB,Iridium NEXT,Polar,Iridium Communications,"Success
","9,600 kg",Success,9 October 2017,12:37
43,F9 FTB1031.2,KSC,SES-11,GTO,"SES S.A.
EchoStar","Success
","5,200 kg",Success,11 October 2017,22:53:00
44,F9 B4,KSC,Koreasat 5A,GTO,KT Corporation,"Success
","3,500 kg",Success,30 October 2017,19:34
45,F9 FTB1035.2,Cape Canaveral,SpaceX CRS-13,LEO,NASA (CRS),"Success
","2,205 kg",Success,15 December 2017,15:36
46,F9 FTB1036.2,VAFB,Iridium NEXT,Polar,Iridium Communications,Success,"9,600 kg",Controlled,23 December 2017,01:27
47,F9 B4,CCAFS,Zuma,LEO,Northrop Grumman [f][238],Success,C,Success,8 January 2018,01:00
